Book,Chapter,Audio Duration (s),RMS Energy,Silence Fraction,Word Count,Readability Score,Words Per Second (WPS)
2Thess,Chapter_2,195.312,0.16322471,0.30212941345129846,297,111.88,1.5206438928483657
2Thess,Chapter_1,147.12,0.16946687,0.31032178946891426,222,108.94,1.5089722675367048
2Thess,Chapter_3,165.48,0.16685228,0.3120049754250262,243,112.39,1.468455402465555
1Tim,Chapter_6,233.904,0.15147403,0.30638459937980256,332,111.98,1.4193857308981463
1Tim,Chapter_4,146.472,0.15549183,0.30496329218781293,199,113.81,1.3586214430061718
1Tim,Chapter_5,217.608,0.15600726,0.2926899133610284,344,112.8,1.580824234403147
1Tim,Chapter_2,130.848,0.1604588,0.3177105623828157,165,112.39,1.2610051357300072
1Tim,Chapter_1,209.952,0.16337644,0.296245491032871,299,110.56,1.4241350403901845
1Tim,Chapter_3,160.896,0.16257837,0.28545043589233626,224,113.81,1.3922036595067622
2John,Chapter_1,129.984,0.1616271,0.31965697060150994,193,112.39,1.4847981290004924
Acts,Chapter_6,155.832,0.16187106,0.29089339801837877,223,110.36,1.4310282868730428
Acts,Chapter_19,399.0,0.1659147,0.26070175438596493,654,110.36,1.6390977443609023
Acts,Chapter_25,254.64,0.16566473,0.24635776652005445,473,109.95,1.8575243480992776
Acts,Chapter_9,393.288,0.15461619,0.27966877962205816,640,111.58,1.6273061980024817
Acts,Chapter_11,258.432,0.17052065,0.29448833090845306,402,110.87,1.5555349182763742
Acts,Chapter_22,287.736,0.1684896,0.24221638932910725,490,110.36,1.7029499263213501
Acts,Chapter_8,340.008,0.16741136,0.2997656182599625,527,112.49,1.549963530269876
Acts,Chapter_12,250.464,0.16591817,0.29808026303181295,412,111.78,1.6449469784080746
Acts,Chapter_24,245.496,0.15525001,0.2558509099944602,426,109.55,1.7352624890018573
Acts,Chapter_28,311.448,0.16367881,0.29471546346955724,545,110.46,1.7498908324985232
Acts,Chapter_20,355.296,0.16545233,0.26842747549461105,573,109.04,1.6127398000540394
Acts,Chapter_21,384.936,0.16897877,0.2481349713545455,646,111.27,1.6782010516033836
Acts,Chapter_13,496.296,0.18492389,0.2796717248040148,775,110.66,1.561568096458565
Acts,Chapter_16,374.928,0.16217552,0.28330239405965946,601,111.17,1.6029744377587163
Acts,Chapter_18,281.592,0.16897681,0.29929827551919086,456,110.66,1.6193641864825705
Acts,Chapter_17,338.592,0.16605112,0.24924109744668116,577,112.29,1.7041158680654003
Acts,Chapter_27,383.616,0.15605444,0.28940833194305415,652,111.37,1.6996162829496164
Acts,Chapter_4,337.296,0.16842759,0.29308616665085463,488,110.97,1.446800436411935
Acts,Chapter_14,254.472,0.16290987,0.2994329107590095,380,108.94,1.493288063126788
Acts,Chapter_5,383.592,0.16653883,0.2779593943565038,592,111.88,1.5433064297482744
Acts,Chapter_2,443.784,0.15295954,0.3105513230160018,624,111.98,1.4060894489210969
Acts,Chapter_23,326.52,0.16755803,0.2476879925680918,575,110.77,1.7609947323288009
Acts,Chapter_1,274.584,0.15205723,0.33800206251396053,406,109.34,1.478600355446785
Acts,Chapter_3,252.24,0.15737164,0.30165070964161117,380,111.78,1.5065017443704407
Acts,Chapter_15,364.896,0.16272384,0.27373781387938845,565,109.24,1.5483863895466106
Acts,Chapter_10,449.856,0.16144556,0.30050597672736756,712,111.78,1.5827286954047517
Acts,Chapter_26,285.672,0.16613631,0.24918890079065034,505,109.75,1.7677616287210505
Acts,Chapter_7,569.544,0.16726696,0.26937558818985013,890,112.29,1.5626536316772717
Jude,Chapter_1,291.792,0.15682466,0.29199838126702127,443,111.78,1.5182047485880354
Mark,Chapter_6,519.264,0.14711706,0.29497792388200733,849,112.29,1.6350064706969865
Mark,Chapter_9,442.968,0.13958287,0.30901291590664187,764,113.81,1.7247295515703165
Mark,Chapter_11,287.856,0.14535607,0.28626610759083243,508,113.61,1.764771274526152
Mark,Chapter_8,348.0,0.14612854,0.29961518199233717,590,113.81,1.6954022988505748
Mark,Chapter_12,427.92,0.14319843,0.3071940043310276,720,113.61,1.6825574873808187
Mark,Chapter_13,319.584,0.14461777,0.300391811438203,517,114.01,1.6177280464603985
Mark,Chapter_16,184.8,0.14146966,0.318037968975469,320,113.51,1.7316017316017316
Mark,Chapter_4,350.784,0.14477384,0.3269795895289789,555,114.62,1.5821702244116038
Mark,Chapter_14,646.824,0.13910365,0.30456417304655775,1124,113.61,1.7377215440367086
Mark,Chapter_5,361.248,0.14783049,0.2940768299524611,602,114.01,1.6664452121534237
Mark,Chapter_2,281.448,0.1469065,0.3179256618155633,449,113.51,1.5953213382223361
Mark,Chapter_1,411.744,0.14012942,0.331944828987591,609,113.0,1.4790743763114944
Mark,Chapter_3,291.0,0.15271924,0.3157498568155785,457,112.59,1.570446735395189
Mark,Chapter_15,361.776,0.14333451,0.30185379442896526,634,113.0,1.7524656140816417
Mark,Chapter_10,459.792,0.14268917,0.29696154275556486,781,114.01,1.6985941469186068
Mark,Chapter_7,328.176,0.14997537,0.3000964675458697,526,112.49,1.60279849836673
Gal,Chapter_6,153.528,0.16542058,0.3037412828061765,249,112.09,1.6218539940597156
Gal,Chapter_4,269.376,0.16135278,0.2781233294725588,419,113.4,1.5554466619149443
Gal,Chapter_5,207.96,0.1699471,0.3008747675835097,317,113.3,1.5243316022311983
Gal,Chapter_2,243.96,0.16563998,0.2753309968847352,389,110.66,1.5945236924085915
Gal,Chapter_1,202.2,0.14964803,0.30187685459940655,344,109.75,1.7012858555885264
Gal,Chapter_3,289.464,0.1638192,0.27226730554864625,403,112.9,1.3922283945499268
2Pet,Chapter_2,263.76,0.15133974,0.25877770827014457,419,111.88,1.5885653624507128
2Pet,Chapter_1,188.328,0.15907235,0.2729643671325206,333,107.52,1.7681916656046897
2Pet,Chapter_3,206.088,0.15474033,0.2829796413829691,336,110.06,1.630371491789915
2Cor,Chapter_6,172.488,0.17649534,0.31641379883431503,244,114.72,1.4145911599647512
2Cor,Chapter_9,157.056,0.16157486,0.27392697509168706,262,111.58,1.6681947840260798
2Cor,Chapter_11,323.856,0.15361878,0.2952730791874578,503,113.61,1.5531594288819723
2Cor,Chapter_8,228.504,0.16248015,0.29133680373210097,377,112.69,1.6498617092042154
2Cor,Chapter_12,250.92,0.15306473,0.3036313034698974,393,113.91,1.5662362505978003
2Cor,Chapter_13,141.936,0.15959875,0.3033993607447488,219,114.32,1.5429489347311462
2Cor,Chapter_4,175.392,0.16665915,0.2924981375053214,272,111.58,1.5508118956394819
2Cor,Chapter_5,209.136,0.15904981,0.30055581854232016,328,113.2,1.5683574324841252
2Cor,Chapter_2,155.928,0.16808651,0.27251947480033517,239,112.49,1.5327587091478119
2Cor,Chapter_1,251.448,0.17616867,0.2859438134325984,411,113.0,1.634532786102892
2Cor,Chapter_3,168.6,0.16170712,0.3010117635429023,264,111.88,1.5658362989323844
2Cor,Chapter_10,175.416,0.16090757,0.29250918768337364,274,111.58,1.562001185752725
2Cor,Chapter_7,209.328,0.1616603,0.3002482945425361,342,114.12,1.6337995872506306
Mat,Chapter_6,348.408,0.1662875,0.29198107295661024,525,114.52,1.5068540332024523
Mat,Chapter_19,318.408,0.15386927,0.3157917671666541,481,112.09,1.5106404361699455
Mat,Chapter_25,427.2,0.15417597,0.296067318196005,688,112.8,1.6104868913857677
Mat,Chapter_9,375.888,0.15155832,0.3139937960243477,564,113.71,1.5004469416421913
Mat,Chapter_11,293.352,0.15945713,0.3170093721308644,442,113.81,1.5067222994900327
Mat,Chapter_22,370.32,0.15725477,0.30012770486786206,575,112.49,1.5527111687189459
Mat,Chapter_8,352.992,0.16304064,0.3156165720469586,513,114.12,1.4532907261354364
Mat,Chapter_12,487.488,0.14690924,0.3100664358233775,739,112.69,1.5159347512143888
